Pop	ID	treat	CT	S0	S24	W	min/max	device	date
Tor	Tor5	24	-0,2	y	y	0,164	min	huber	7/6/16
Tor	Tor6	24	-1,2	y	y	0,14	min	huber	7/6/16
Tor	Tor7	24	34,2	y	y	0,139	max	resist	7/6/16
Tor	Tor8	24	34,8	y	y	0,149	max	resist	7/6/16
Tor	Tor9	24	34,3	y	y	0,13	max	resist	7/6/16
Tor	Tor10	24	33,8	y	y	0,146	max	resist	7/6/16
Tor	Tor11	24	33,8	y	y	0,105	max	resist	7/6/16
Tor	Tor12	24	34,4	y	y	0,133	max	resist	7/6/16
Tor	Tor13	14	34	y	y	0,122	max	resist	8/6/16
Tor	Tor14	14	32,4	y	y	0,148	max	resist	8/6/16
Tor	Tor15	14	32,8	y	y	0,112	max	resist	8/6/16
Tor	Tor16	14	32	y	y	0,171	max	resist	8/6/16
Tor	Tor17	14	33,2	y	y	0,154	max	resist	8/6/16
Tor	Tor18	14	33,8	y	y	0,138	max	resist	8/6/16
Tor	Tor19	14	-1,2	y	y	0,163	min	huber	8/6/16
Tor	Tor20	14	-1,4	y	y	0,13	min	huber	8/6/16
Tor	Tor21	14	-1,1	y	y	0,141	min	huber	8/6/16
Tor	Tor22	14	-1,2	y	y	0,156	min	huber	8/6/16
Tor	Tor23	14	-2	y	y	0,124	min	huber	8/6/16
Tor	Tor24	14	-1,8	y	y	0,149	min	huber	8/6/16
Tor	Tor25	24	33,6	y	y	0,113	max	resist	8/6/16
Tor	Tor26	24	32,8	y	y	0,115	max	resist	8/6/16
Tor	Tor27	24	34	y	y	0,123	max	resist	8/6/16
Tor	Tor28	24	34	y	y	0,108	max	resist	8/6/16
Tor	Tor29	24	30,8	NA	n	NA	max	resist	8/6/16
